state,last_action_name,article,vehicleClass,lastSent,notificationType,dismissal,Resource,amount,points,expense,execution_time_minutes,remaining_time_minutes,initial
0,start,157.0,A,missing,missing,NIL,69.13417101480141,37.61734107123842,0.025769353636460428,0.0,553052.6163347886,553052.6163347886,True
1,Create Fine,157.0,A,missing,missing,NIL,69.13417101480141,37.61734107123842,0.025769353636460428,0.0,553052.6163347886,553052.6163347886,False
2,Send Fine,157.0,A,missing,missing,NIL,69.241975783202,39.28237555256583,0.04651162790697674,12.821055160484335,986798.8160676532,836626.715356525,False
3,Insert Fine Notification,157.0,A,P,P,NIL,69.25583657587549,39.3707392996109,0.0470817120622568,12.825068093385212,995853.8521400779,824722.4591439689,False
4,Add penalty,157.0,A,P,P,NIL,69.24784988272087,79.70613565285379,0.04456606724003127,12.843500781860827,995048.1626270524,737346.7083659109,False
5,Send for Credit Collection,157.0,A,P,P,NIL,69.30781758957654,81.76485070575463,0.04885993485342019,12.840301302931596,1138741.7589576547,0.0,False
6,archive_application,157.0,A,P,P,NIL,69.12956633198034,59.632070070497754,0.024140140995513766,7.0928434095278785,551163.7684255501,0.0,False
7,Payment,157.0,A,missing,missing,NIL,69.0422693667631,46.653828351012535,0.009803921568627437,4.162989392478303,209988.19672131148,25842.468659594986,False
8,start,157.0,A,missing,missing,NIL,45.92105615271397,35.89670844297757,0.03287096918067882,0.0,578687.5161678783,578687.5161678783,True
9,Create Fine,157.0,A,missing,missing,NIL,45.92105615271397,35.89670844297757,0.03287096918067882,0.0,578687.5161678783,578687.5161678783,False
10,Send Fine,157.0,A,missing,missing,NIL,46.074611055941745,36.16721151936445,0.048791790797749084,11.485983449189009,851251.9245283019,723046.5461767627,False
11,Insert Fine Notification,157.0,A,N,P,NIL,46.03867211864994,36.385871508767075,0.050661861528865475,11.587791946773859,883782.0611268972,729423.32247557,False
12,Add penalty,157.0,A,N,P,NIL,46.050935912601766,73.48248277781646,0.04926588268039801,11.597536705865979,882764.9906060817,641921.6588963886,False
13,Send for Credit Collection,157.0,A,N,P,NIL,46.12847740236946,73.38076086002633,0.05397103992979376,11.448186924089512,978990.2237823607,544.4071961386574,False
14,archive_application,157.0,A,missing,P,NIL,45.92876957494407,59.715558389261744,0.03172259507829977,7.731433109619686,576616.9127516778,0.0,False
15,Payment,157.0,A,missing,missing,NIL,45.788431555971314,46.32766214530714,0.010289990645463036,4.9856018085438105,212396.0710944808,40059.906454630494,False
16,start,157.0,A,missing,missing,NIL,53.1056212164889,32.50736408186797,0.0018449120784087497,0.0,556018.7443067166,556018.7443067166,True
17,Create Fine,157.0,A,missing,missing,NIL,53.1056212164889,32.50736408186797,0.0018449120784087497,0.0,556018.7443067166,556018.7443067166,False
18,Send Fine,157.0,A,missing,missing,NIL,53.12517730496454,31.793585992907804,0.0028368794326241,11.473350177304964,846172.9787234042,714389.4893617021,False
19,Insert Fine Notification,157.0,A,N,P,NIL,53.118704031282,31.852513732427152,0.0029792384321757613,11.604637370822084,880772.4271483102,721824.0983148683,False
20,Add penalty,157.0,A,N,P,NIL,53.11843210452636,64.65277834811013,0.0029864675688287307,11.60981707886141,879810.7027531498,634463.0592627159,False
21,Send for Credit Collection,157.0,A,N,P,NIL,53.11986137667304,64.07480282026768,0.002868068833651994,11.403484703632886,979702.1414913958,172.08413001912047,False
22,archive_application,157.0,A,missing,P,NIL,53.10592926490985,52.78550161812298,0.0018492834026814474,7.452881992602866,554428.7933425797,0.0,False
23,Payment,157.0,A,missing,missing,NIL,53.11630133052551,43.05604575476213,0.0013400976356848719,4.874946874700871,210129.72910883508,39154.023164544844,False
24,start,157.0,A,missing,missing,NIL,62.69092293844769,34.954573149622654,0.008031572388008017,0.0,521392.0653603822,521392.0653603822,True
25,Create Fine,157.0,A,missing,missing,NIL,62.69092293844769,34.954573149622654,0.008031572388008017,0.0,521392.0653603822,521392.0653603822,False
26,Send Fine,157.0,A,missing,missing,NIL,62.66166153846154,35.10874461538462,0.014276923076923066,13.009888,914876.7507692308,747131.3723076923,False
27,Insert Fine Notification,157.0,A,P,P,NIL,62.65546113471632,35.12663709072732,0.014496375906023483,13.024817545613596,924558.6403399151,734938.4253936516,False
28,Add penalty,157.0,A,P,P,NIL,62.6561324303988,71.76605091547529,0.013794833207925745,13.03564584900928,923718.8261851015,647691.9187358917,False
29,Send for Credit Collection,157.0,A,P,P,NIL,62.70289469010833,71.94702006748358,0.015627774817971927,13.019536494405969,1057199.104954715,878.6787426744805,False
30,archive_application,157.0,A,P,P,NIL,62.69172566985978,55.196341802026936,0.007288629737609315,7.307891850617797,519680.866305706,0.0,False
31,Payment,157.0,A,missing,missing,NIL,62.659150657229524,45.57452173913044,0.0023255813953488237,4.697806875631951,221333.82406471184,31599.77350859454,False
32,Insert Date Appeal to Prefecture,157.0,A,P,P,NIL,62.842696629213485,48.22831460674158,0.11235955056179775,20.95056179775281,828986.9662921348,583475.0561797753,False
33,Send Appeal to Prefecture,157.0,A,P,P,NIL,62.845238095238095,65.27392857142858,0.11904761904761904,20.833333333333332,822137.1428571428,406971.4285714286,False
34,Receive Result Appeal from Prefecture,157.0,A,P,P,NIL,62.92941176470588,76.39,0.11764705882352941,21.435294117647057,860662.5882352941,464391.5294117647,False
35,Notify Result Appeal to Offender,157.0,A,P,P,NIL,62.97560975609756,77.44695121951219,0.12195121951219512,21.4390243902439,875642.9268292683,444275.1219512195,False
36,Insert Date Appeal to Prefecture,157.0,A,P,P,NIL,68.67307692307692,47.857692307692304,0.1153846153846154,23.182692307692307,814347.6923076923,566252.3076923077,False
37,Send Appeal to Prefecture,157.0,A,P,P,NIL,68.85106382978724,65.5127659574468,0.12765957446808512,23.28723404255319,805388.9361702128,494900.42553191487,False
